Time	A4	A4Ia	
0	-0.07	0	
0.002	-0.07	2.571688E-27	
0.004	-0.07	3.445626E-27	
0.006	-0.07	3.500844E-27	
0.008	-0.07	3.510403E-27	
0.01	-0.07	3.514738E-27	
0.012	-0.07	3.517557E-27	
0.014	-0.07	3.519573E-27	
0.016	-0.07	3.524337E-27	
0.018	-0.07	3.524177E-27	
0.02	-0.07	3.520652E-27	
0.022	-0.07	3.526768E-27	
0.024	-0.07	3.525733E-27	
0.026	-0.07	3.525217E-27	
0.028	-0.07	3.531127E-27	
0.03	-0.07	3.524421E-27	
0.032	-0.07	3.527316E-27	
0.034	-0.07	3.524656E-27	
0.036	-0.07	3.524088E-27	
0.038	-0.07	3.523216E-27	
0.04	-0.07	3.523198E-27	
0.042	-0.07	3.523215E-27	
0.044	-0.07	3.52319E-27	
0.046	-0.07	3.523167E-27	
0.048	-0.07	3.523152E-27	
0.05	-0.07	3.523143E-27	
0.052	-0.07	3.523136E-27	
0.054	-0.07	3.523132E-27	
0.056	-0.07	3.523129E-27	
0.058	-0.07	3.523128E-27	
0.06	-0.07	3.523126E-27	
0.062	-0.07	3.523125E-27	
0.064	-0.07	3.523125E-27	
0.066	-0.07	3.523124E-27	
0.068	-0.07	3.523124E-27	
0.07	-0.07	3.523123E-27	
0.072	-0.07	3.523123E-27	
0.074	-0.07	3.523124E-27	
0.07600001	-0.07	3.523123E-27	
0.078	-0.07	3.523123E-27	
0.08000001	-0.07	3.523123E-27	
0.082	-0.07	3.523123E-27	
0.08400001	-0.07	3.523123E-27	
0.086	-0.07	3.523123E-27	
0.08800001	-0.07	3.523123E-27	
0.09	-0.07	3.523123E-27	
0.09200001	-0.07	3.523123E-27	
0.094	-0.07	3.523123E-27	
0.096	-0.07	3.523123E-27	
0.098	-0.07	3.523123E-27	
0.1	-0.07	3.523123E-27	
0.102	-0.07	3.523123E-27	
0.104	-0.07	3.523123E-27	
0.106	-0.07	3.523123E-27	
0.108	-0.07	3.523123E-27	
0.11	-0.07	3.523123E-27	
0.112	-0.07	3.523123E-27	
0.114	-0.07	3.523123E-27	
0.116	-0.07	3.523123E-27	
0.118	-0.07	3.523123E-27	
0.12	-0.07	3.523123E-27	
0.122	-0.07	3.523123E-27	
0.124	-0.07	3.523123E-27	
0.126	-0.07	3.523123E-27	
0.128	-0.07	3.523123E-27	
0.13	-0.07	3.523123E-27	
0.132	-0.07	3.523123E-27	
0.134	-0.07	3.523123E-27	
0.136	-0.07	3.523123E-27	
0.138	-0.07	3.523123E-27	
0.14	-0.07	3.523123E-27	
0.142	-0.07	3.523123E-27	
0.144	-0.07	3.523123E-27	
0.146	-0.07	3.523123E-27	
0.148	-0.07	3.523123E-27	
0.15	-0.07	3.523123E-27	
0.152	-0.07	3.523123E-27	
0.154	-0.07	3.523123E-27	
0.156	-0.07	3.523123E-27	
0.158	-0.07	3.523123E-27	
0.16	-0.07	3.523123E-27	
0.162	-0.07	3.523123E-27	
0.164	-0.07	3.523123E-27	
0.166	-0.07	3.523123E-27	
0.168	-0.07	3.523123E-27	
0.17	-0.07	3.523123E-27	
0.172	-0.07	3.523123E-27	
0.174	-0.07	3.523123E-27	
0.176	-0.07	3.523123E-27	
0.178	-0.07	3.523123E-27	
0.18	-0.07	3.523123E-27	
0.182	-0.07	3.523123E-27	
0.184	-0.07	3.523123E-27	
0.186	-0.07	3.523123E-27	
0.188	-0.07	3.523123E-27	
0.19	-0.07	3.523123E-27	
0.192	-0.07	3.523123E-27	
0.194	-0.07	3.523123E-27	
0.196	-0.07	3.523123E-27	
0.198	-0.07	3.523123E-27	
0.2	-0.07	3.523123E-27	
0.202	-0.07	3.523123E-27	
0.204	-0.07	3.523123E-27	
0.206	-0.07	3.523123E-27	
0.208	-0.07	3.523123E-27	
0.21	-0.07	3.523123E-27	
0.212	-0.07	3.523123E-27	
0.214	-0.07	3.523123E-27	
0.216	-0.07	3.523123E-27	
0.218	-0.07	3.523123E-27	
0.22	-0.07	3.523123E-27	
0.222	-0.07	3.523123E-27	
0.224	-0.07	3.523123E-27	
0.226	-0.07	3.523123E-27	
0.228	-0.07	3.523123E-27	
0.23	-0.07	3.523123E-27	
0.232	-0.07	3.523123E-27	
0.234	-0.07	3.523123E-27	
0.236	-0.07	3.523123E-27	
0.238	-0.07	3.523123E-27	
0.24	-0.07	3.523123E-27	
0.242	-0.07	3.523123E-27	
0.244	-0.07	3.523123E-27	
0.246	-0.07	3.523123E-27	
0.248	-0.07	3.523123E-27	
0.25	-0.07	3.523123E-27	
0.252	-0.07	3.523123E-27	
0.254	-0.07	3.523123E-27	
0.256	-0.07	3.523123E-27	
0.258	-0.07	3.523123E-27	
0.26	-0.07	3.523123E-27	
0.262	-0.07	3.523123E-27	
0.264	-0.07	3.523123E-27	
0.266	-0.07	3.523123E-27	
0.268	-0.07	3.523123E-27	
0.27	-0.07	3.523123E-27	
0.272	-0.07	3.523123E-27	
0.274	-0.07	3.523123E-27	
0.276	-0.07	3.523123E-27	
0.278	-0.07	3.523123E-27	
0.28	-0.07	3.523123E-27	
0.282	-0.07	3.523123E-27	
0.284	-0.07	3.523123E-27	
0.286	-0.07	3.523123E-27	
0.288	-0.07	3.523123E-27	
0.29	-0.07	3.523123E-27	
0.292	-0.07	3.523123E-27	
0.294	-0.07	3.523123E-27	
0.296	-0.07	3.523123E-27	
0.298	-0.07	3.523123E-27	
0.3	-0.07	3.523123E-27	
0.302	-0.07	3.523123E-27	
0.304	-0.07	3.523123E-27	
0.306	-0.07	3.523123E-27	
0.308	-0.07	3.523123E-27	
0.31	-0.07	3.523123E-27	
0.312	-0.07	3.523123E-27	
